index,smiles,FDA_APPROVED,CT_TOX,mol,isosmiles
745,CC(C)CC(C(=O)NC(CCCNC(=[NH2+])N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C(Cc4ccc(cc4)O)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6c5cccc6)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8CCC(=O)N8,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e923de20>,CC(C)CC(NC(=O)C(Cc1ccc2ccccc2c1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)N1CCCC1C(=O)NCC(N)=O
746,CC(C)CC(C1(CCC1)c2ccc(cc2)Cl)[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e923de80>,CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1
747,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e923dee0>,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
748,CC(C)CC1C[NH+]2CCc3cc(c(cc3C2CC1=O)OC)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e923df40>,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)C[NH+]1CC2
749,CC(C)Cc1ccc(cc1)C(C)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e923dfa0>,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1
750,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268040>,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
751,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)OP(=O)([O-])[O-])S(=O)(=O)c3ccc(cc3)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92680a0>,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
752,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268100>,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1
753,CC(C)Cn1cnc2c1c3ccccc3nc2N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268160>,CC(C)Cn1cnc2c(N)nc3ccccc3c21
754,CC(C)CNCC1=CC=C(C=C1)C2=CC=CC=C2S(=O)(=O)N3CCCC3,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e92681c0>,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
755,CC(C)COC(=O)NCCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc3ccccc3)C(=O)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268220>,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)C(N)=O
756,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)[NH+]3CCCC3,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268280>,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1
757,CC(C)n1c2ccccc2c(c1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)c3ccc(cc3)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92682e0>,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21
758,CC(C)NC(=O)c1ccc(cc1)CNNC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268340>,CNNCc1ccc(C(=O)NC(C)C)cc1
759,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)NS(=O)(=O)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92683a0>,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
760,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268400>,CC(C)NCC(O)COc1cccc2ccccc12
761,CC(C)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268460>,CC(C)O
762,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(cc2)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92684c0>,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
763,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](COc2cccc(c2)C(F)(F)F)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268520>,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
764,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCc2ccccc2)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268580>,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1
765,CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/c3csc(n3)N)COC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92685e0>,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1
766,CC(C)OP(=O)(OC(C)C)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268640>,CC(C)OP(=O)(F)OC(C)C
767,CC(C12CC3CC(C1)CC(C3)C2)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92686a0>,CC([NH3+])C12CC3CC(CC(C3)C1)C2
768,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCC[NH3+])Cc2c[nH]c3c2cccc3)Cc4ccccc4)NC(=O)C(Cc5ccccc5)[NH3+])C(=O)NC(CO)C(C)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268700>,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C([NH3+])Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCC[NH3+])C(=O)NC(C(C)O)C(=O)N1
769,CC(c1cc2ccccc2s1)N(C(=O)N)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268760>,CC(c1cc2ccccc2s1)N(O)C(N)=O
770,CC(c1ccc(c(c1)F)c2ccccc2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92687c0>,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1
771,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)[NH2+]C)O)[NH3+])[NH3+])[NH3+])[NH2+]C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268820>,C[NH2+]C(C)C1CCC([NH3+])C(OC2C([NH3+])CC([NH3+])C(OC3OCC(C)(O)C([NH2+]C)C3O)C2O)O1
772,CC(c1ccc(cc1)C(=O)c2cccs2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268880>,CC(C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1
773,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92688e0>,CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1
774,CC(c1cccc(c1)Oc2ccccc2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268940>,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1
775,CC(c1ccccc1)(c2ccccn2)OCC[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92689a0>,C[NH+](C)CCOC(C)(c1ccccc1)c1ccccn1
776,CC(C[N+](C)(C)C)OC(=O)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268a00>,CC(=O)OC(C)C[N+](C)(C)C
777,CC(C[N+](C)(C)C)OC(=O)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268a60>,CC(C[N+](C)(C)C)OC(N)=O
778,CC(C[NH2+]C1CCCCC1)OC(=O)c2ccccc2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268ac0>,CC(C[NH2+]C1CCCCC1)OC(=O)c1ccccc1
779,CC(Cc1ccc(cc1)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268b20>,CC([NH3+])Cc1ccc(O)cc1
780,CC(Cc1ccc(cc1)OC)[NH2+]CC(c2ccc(c(c2)NC=O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268b80>,COc1ccc(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)cc1
781,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(c3ccc(c(c3)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268be0>,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(O)c1ccc(O)c(O)c1
782,CC(Cc1ccccc1)[NH+](C)Cc2ccccc2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268c40>,CC(Cc1ccccc1)[NH+](C)Cc1ccccc1
783,CC(Cc1ccccc1)[NH2+]C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268ca0>,C[NH2+]C(C)Cc1ccccc1
784,CC(Cc1ccccc1)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268d00>,CC([NH3+])Cc1ccccc1
785,CC(CCc1ccc(cc1)O)[NH2+]CCc2ccc(c(c2)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268d60>,CC(CCc1ccc(O)cc1)[NH2+]CCc1ccc(O)c(O)c1
786,CC(CCc1ccccc1)[NH2+]CC(c2ccc(c(c2)C(=O)N)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268dc0>,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1
787,CC(CCC[NH3+])Nc1cc(cc2c1nccc2)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268e20>,COc1cc(NC(C)CCC[NH3+])c2ncccc2c1
788,CC(CN(c1c(cc(c(c1I)N)I)I)C(=O)C)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268e80>,CC(=O)N(CC(C)C(=O)[O-])c1c(I)cc(I)c(N)c1I
789,CC(CN1c2ccccc2CCc3c1cccc3)C[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268ee0>,CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C
790,CC(CN1c2ccccc2Sc3c1cccc3)[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268f40>,CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C
791,CC(CN1c2ccccc2Sc3c1cccc3)C[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9268fa0>,CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C
792,CC(CN1CC[NH+](CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b040>,CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC[NH+](CC(=O)[O-])CC1
793,CC(COc1ccccc1)[NH+](CCCl)Cc2ccccc2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b0a0>,CC(COc1ccccc1)[NH+](CCCl)Cc1ccccc1
794,CC(CS(=O)(=O)c1ccc(cc1)F)(C(=O)Nc2ccc(c(c2)C(F)(F)F)C#N)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b100>,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
795,CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b160>,CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
796,CC(=O)/N=c\1/n(nc(s1)S(=O)(=O)N)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b1c0>,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C
797,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)c5ccc(cc5)N(C)C)C)OC(=O)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b220>,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
798,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b280>,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
799,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b2e0>,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
800,CC(=O)[N-]S(=O)(=O)c1ccc(cc1)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b340>,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1
801,CC(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b3a0>,CC(=O)[O-]
802,CC(=O)c1ccc(c(c1)OC)OCCC[NH+]2CCC(CC2)c3c4ccc(cc4on3)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b400>,COc1cc(C(C)=O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1
803,CC(=O)c1ccc(cc1)S(=O)(=O)[N-]C(=O)NC2CCCCC2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b460>,CC(=O)c1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1
804,CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCC[NH+]4CCC(CC4)CCO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b4c0>,CC(=O)c1ccc2c(c1)N(CCC[NH+]1CCC(CCO)CC1)c1ccccc1S2
805,CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CC[NH+](CC4)CCO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b520>,CC(=O)c1ccc2c(c1)N(CCCN1CC[NH+](CCO)CC1)c1ccccc1S2
806,CC(=O)CC(c1ccccc1)c2c(c3ccccc3oc2=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b580>,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O
807,CC(=O)CCc1ccc2cc(ccc2c1)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b5e0>,COc1ccc2cc(CCC(C)=O)ccc2c1
808,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(c1=O)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b640>,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
809,CC(=O)N(C)c1c(c(c(c(c1I)C(=O)NCC(=O)Nc2c(c(c(c(c2I)C(=O)[O-])I)C(=O)NCCO)I)I)C(=O)NC)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b6a0>,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I
810,CC(=O)N(CC(CN(c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)c2c(c(c(c(c2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b700>,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
811,CC(=O)N(CC(CO)O)c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b760>,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
812,CC(=O)N(CC(CO)O)c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b7c0>,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
813,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCC[NH3+])O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b820>,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
814,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b880>,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
815,CC(=O)N1CCN(CC1)c2ccc(cc2)OC[C@H]3CO[C@](O3)(Cn4ccnc4)c5ccc(cc5Cl)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b8e0>,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
816,CC(=O)N[C@@H](CS)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b940>,CC(=O)N[C@@H](CS)C(=O)[O-]
817,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)OS(=O)(=O)[O-])O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)[O-])O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926b9a0>,CC(=O)N[C@H]1[C@H](O)O[C@H](OS(=O)(=O)[O-])[C@H](O)[C@@H]1O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O
818,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)[O-])[NH+]=C(N)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926ba00>,CC(=O)N[C@@H]1[C@@H]([NH+]=C(N)N)C=C(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
819,CC(=O)N[C@H](COC)C(=O)NCc1ccccc1,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926ba60>,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
820,CC(=O)N[C@H]1CCc2cc(c(c(c2-c3c1cc(=O)c(cc3)OC)OC)OC)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bac0>,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
821,CC(=O)Nc1c(c(c(c(c1I)C(=O)[O-])I)C(=O)NC)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bb20>,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
822,CC(=O)Nc1c(c(c(c(c1I)N(C)C(=O)C)I)C(=O)[O-])I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bb80>,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I
823,CC(=O)Nc1c(c(c(c(c1I)N(C)C(=O)C)I)C(=O)N[C@@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bbe0>,CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I
824,CC(=O)Nc1c(c(c(c(c1I)NC(=O)C)I)C(=O)[O-])I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bc40>,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
825,CC(=O)Nc1c(cc(c(c1I)C(=O)[O-])I)I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bca0>,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I
826,CC(=O)Nc1ccc(cc1)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bd00>,CC(=O)Nc1ccc(O)cc1
827,CC(=O)Nc1nnc(s1)S(=O)(=O)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bd60>,CC(=O)Nc1nnc(S(N)(=O)=O)s1
828,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)N3CCOCC3,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bdc0>,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
829,CC(=O)NCc1c(c(c(c(c1I)NC(=O)C)I)C(=O)[O-])I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926be20>,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
830,CC(=O)NCCCS(=O)(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926be80>,CC(=O)NCCCS(=O)(=O)[O-]
831,CC(=O)NO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bee0>,CC(=O)NO
832,CC(=O)O[C@@H]1[C@@H](Sc2ccccc2N(C1=O)CC[NH+](C)C)c3ccc(cc3)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bf40>,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=O)cc1
833,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e926bfa0>,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
834,CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)[NH+]5CCOCC5)C)C)[N+]6(CCCC6)CC=C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9266040>,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H]([NH+]6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1
835,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92660a0>,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
836,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[NH+]4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9266100>,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CCCCC1
837,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CC[N+](CC4)(C)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)N6CC[N+](CC6)(C)C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9266160>,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1
838,CC(=O)O[C@H]1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e92661c0>,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21
839,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4c5cccnc5)C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e9266220>,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
840,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e9266280>,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
841,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e92662e0>,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
