index,compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcalmol),experimental uncertainty (kcalmol),Mobley group calculated value (GAFF) (kcalmol),calculated uncertainty (kcalmol),experimental reference (original or paper this value was taken from),calculated reference,text notes.,mol,isosmiles
319,mobley_5072416, COc1ccccc1N, 2-methoxyaniline,-6.12,0.6,-6.77,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfca60>,COc1ccccc1N
320,mobley_5076071, CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]," 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",-5.66,1.93,-7.5,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinitramine to 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcac0>,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
321,mobley_5079234, CCCCCCCO, heptan-1-ol,-4.21,0.6,-2.92,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcb20>,CCCCCCCO
322,mobley_5094777, c1ccc2c(c1)CCC2, indane,-1.46,0.6,-1.75,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcb80>,c1ccc2c(c1)CCC2
323,mobley_5110043, Cc1ccc2cc(ccc2c1)C," 2,6-dimethylnaphthalene",-2.63,0.6,-2.85,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcbe0>,Cc1ccc2cc(C)ccc2c1
324,mobley_511661, C=CC=C, butadiene,0.56,0.2,1.96,0.02, 10.1021jo00891a006, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcc40>,C=CC=C
325,mobley_5123639, C[C@H](CC(C)C)O, 4-methylpentan-2-ol,-3.73,0.6,-2.91,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcca0>,CC(C)C[C@@H](C)O
326,mobley_5157661, CC(C)C, isobutane,2.3,0.2,2.54,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcd00>,CC(C)C
327,mobley_5200358, CC(C)(C=NOC(=O)NC)SC, aldicarb,-9.84,0.1,-9.68,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104, Renamed mobley_5200358 from aldicarb to [(Z)-(2-methyl-2-methylsulfanyl-propylidene)amino] N-methylcarbamate (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcd60>,CNC(=O)ON=CC(C)(C)SC
328,mobley_5220185, CCc1cnccn1, 2-ethylpyrazine,-5.45,0.6,-5.81,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcdc0>,CCc1cnccn1
329,mobley_525934, CS, methanethiol,-1.2,0.2,-0.27,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646cfce20>,CS
330,mobley_5263791, CCc1cccc2c1cccc2, 1-ethylnaphthalene,-2.4,0.6,-2.96,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfce80>,CCc1cccc2ccccc12
331,mobley_52782, C(CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxyethane",-5.73,0.1,-6.23,0.03, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from nitroglycol to 1,2-dinitroxyethane for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcee0>,O=[N+]([O-])OCCO[N+](=O)[O-]
332,mobley_5282042, CN(C)CCC=C1c2ccccc2CCc3c1cccc3, Amitriptyline,-7.43,0.6,-7.35,0.05, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcf40>,CN(C)CCC=C1c2ccccc2CCc2ccccc21
333,mobley_5286200, C(CCCl)CCl," 1,4-dichlorobutane",-2.32,0.6,-0.4,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cfcfa0>,ClCCCCCl
334,mobley_5310099, CCCCC=C, hex-1-ene,1.58,0.6,2.63,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3040>,C=CCCCC
335,mobley_5311804, c1ccc(cc1)CO, phenylmethanol,-6.62,0.6,-5.13,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf30a0>,OCc1ccccc1
336,mobley_5326154, CN(C)c1ccccc1," N,N-dimethylaniline",-3.45,0.6,-4.43,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3100>,CN(C)c1ccccc1
337,mobley_5346580, CC(=O)C(C)(C)C," 3,3-dimethylbutan-2-one",-3.11,0.6,-3.23,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3160>,CC(=O)C(C)(C)C
338,mobley_5347550, COC(C(Cl)Cl)(F)F," 2,2-dichloro-1,1-difluoro-1-methoxy-ethane",-1.12,0.6,-0.69,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf31c0>,COC(F)(F)C(Cl)Cl
339,mobley_5371840, c1ccc2c(c1)Oc3ccc(cc3O2)Cl, 2-chlorodibenzo-p-dioxin,-3.1,0.1,-4.05,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3220>,Clc1ccc2c(c1)Oc1ccccc1O2
340,mobley_5390332, CCCC(=O)OC, methyl butanoate,-2.83,0.6,-3.55,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3280>,CCCC(=O)OC
341,mobley_5393242, CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C, diazinon,-6.48,0.13,-10.75,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf32e0>,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
342,mobley_5445548, CC(C)c1ccccc1, cumene,-0.3,0.6,-0.67,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3340>,CC(C)c1ccccc1
343,mobley_5449201, CCCCC, n-pentane,2.3,0.2,2.67,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646cf33a0>,CCCCC
344,mobley_5456566, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl," 1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",-2.98,1.0,0.76,0.05, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3400>,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
345,mobley_5467162, CC(C)(C)c1ccc(cc1)O, 4-tert-butylphenol,-5.91,0.6,-5.54,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3460>,CC(C)(C)c1ccc(O)cc1
346,mobley_5471704, CC(C)CCOC(=O)C, isopentyl acetate,-2.21,0.6,-3.07,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf34c0>,CC(=O)OCCC(C)C
347,mobley_547634, Cc1cc2ccccc2cc1C," 2,3-dimethylnaphthalene",-2.78,0.6,-2.95,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3520>,Cc1cc2ccccc2cc1C
348,mobley_5494918, C(=C(F)F)(C(F)(F)F)F," 1,1,2,3,3,3-hexafluoroprop-1-ene",2.93,0.6,2.31,0.02, 10.1021cr60306a003, 10.1021acs.jced.7b00104," Updated correcting an error in the RizzoMobley sets that had arisen from confusing the abbreviation HFP with hexafluoropropan-2-ol versus hexafluoropropene. Reference Wilhelm, E., Battino, R., Wilcock, R. J., Chem. Rev. 1977, 77, 223-262.  Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3580>,FC(F)=C(F)C(F)(F)F
349,mobley_5499659, Cn1ccnc1, 1-methylimidazole,-8.41,0.6,-6.28,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf35e0>,Cn1ccnc1
350,mobley_550662, CC(OC)(OC)OC," 1,1,1-trimethoxyethane",-4.42,0.6,-3.7,0.04, 10.1021ja00802a021, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3640>,COC(C)(OC)OC
351,mobley_5510474, c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4-tetrachlorodibenzo-p-dioxin",-3.81,0.14,-2.77,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf36a0>,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
352,mobley_5518547, Cc1ccc(cc1)N, 4-methylaniline,-5.57,0.6,-5.49,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3700>,Cc1ccc(N)cc1
353,mobley_5520946, c1ccc(cc1)S, benzenethiol,-2.55,0.6,-1.5,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3760>,Sc1ccccc1
354,mobley_5538249, c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl," 1,3,5-trichloro-2-phenyl-benzene",-2.16,0.1,-1.15,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf37c0>,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
355,mobley_5561855, c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl," 1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",-1.96,0.1,-0.48,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3820>,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
356,mobley_5571660, Cc1cccc(c1N)C," 2,6-dimethylaniline",-5.21,0.6,-5.57,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3880>,Cc1cccc(C)c1N
357,mobley_5600967, CN(C)C(=O)c1ccc(cc1)OC," 4-methoxy-N,N-dimethyl-benzamide",-11.01,0.6,-9.62,0.04, 10.1139v92-210, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf38e0>,COc1ccc(C(=O)N(C)C)cc1
358,mobley_5616693, C[C@@H]1CC[C@H](C(=O)C1)C(C)C," (2S,5R)-2-isopropyl-5-methylcyclohexanone",-2.53,0.25,-3.52,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3940>,CC(C)[C@@H]1CC[C@@H](C)CC1=O
359,mobley_5627459, CC(C)C=O, 2-methylpropanal,-2.86,0.6,-2.97,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf39a0>,CC(C)C=O
361,mobley_5665561, Cc1cc(c2ccccc2c1)C," 1,3-dimethylnaphthalene",-2.47,0.6,-3.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3a60>,Cc1cc(C)c2ccccc2c1
362,mobley_5690766, C=CCCC=C," hexa-1,5-diene",1.01,0.6,2.49,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3ac0>,C=CCCC=C
363,mobley_5692472, CNC, N-methylmethanamine,-4.29,0.6,-2.99,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3b20>,CNC
364,mobley_5708811, COc1c(ccc(c1C(=O)O)Cl)Cl, dicamba,-9.86,1.93,-8.66,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3b80>,COc1c(Cl)ccc(Cl)c1C(=O)O
365,mobley_5732611, Cc1c[nH]cn1, 4-methyl-1H-imidazole,-10.27,0.6,-8.21,0.03, 10.1021bi00507a030, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3be0>,Cc1c[nH]cn1
366,mobley_5747188, Cc1ccccc1[N+](=O)[O-], 1-methyl-2-nitro-benzene,-3.58,0.6,-3.13,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3c40>,Cc1ccccc1[N+](=O)[O-]
367,mobley_5747981, COCC(OC)(OC)OC," 1,1,1,2-tetramethoxyethane",-5.73,0.6,-5.44,0.04, 10.1139v80-201, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3ca0>,COCC(OC)(OC)OC
368,mobley_5759258, CCCCCO, pentan-1-ol,-4.57,0.6,-3.05,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3d00>,CCCCCO
369,mobley_5760563, COS(=O)(=O)OC, dimethyl sulfate,-5.1,0.6,-8.41,0.03, 10.1139v78-385, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3d60>,COS(=O)(=O)OC
370,mobley_5816127, COCCO, 2-methoxyethanol,-6.62,0.4,-4.69,0.03, 10.1007BF00646936 and 10.1136oem.45.8.561, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Updated 102213 using the mean of experimental data from two sources listed as experimental references.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3dc0>,COCCO
371,mobley_5852491, CC1CCCC1, methylcyclopentane,1.59,0.6,1.78,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3e20>,CC1CCCC1
372,mobley_5857, c1ccc2c(c1)cccn2, quinoline,-5.72,0.6,-4.99,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3e80>,c1ccc2ncccc2c1
373,mobley_5880265, CCCCOCCO, 2-butoxyethanol,-6.25,0.6,-3.85,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3ee0>,CCCCOCCO
374,mobley_588781, CCCCCCc1ccccc1, hexylbenzene,-0.04,0.6,-0.1,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3f40>,CCCCCCc1ccccc1
375,mobley_5890803, CCCOC(=O)CC, propyl propanoate,-2.44,0.6,-2.45,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646cf3fa0>,CCCOC(=O)CC
376,mobley_590519, CCSSCC, ethyldisulfanylethane,-1.64,0.6,-0.98,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d040>,CCSSCC
377,mobley_5917842, Cc1ccc(c(c1)OC)O, 4-methyl-2-methoxyphenol,-5.8,0.1,-4.55,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d0a0>,COc1cc(C)ccc1O
378,mobley_5935995, CCC(C)(C)C," 2,2-dimethylbutane",2.51,0.6,2.5,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d100>,CCC(C)(C)C
379,mobley_5948990, c1ccc(c(c1)N)[N+](=O)[O-], 2-nitroaniline,-7.37,0.6,-7.66,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d160>,Nc1ccccc1[N+](=O)[O-]
380,mobley_5952846, C(=C(Cl)Cl)(Cl)Cl," 1,1,2,2-tetrachloroethylene",0.1,0.6,1.33,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d1c0>,ClC(Cl)=C(Cl)Cl
381,mobley_5973402, CC(C)CCO, 3-methylbutan-1-ol,-4.42,0.6,-3.24,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d220>,CC(C)CCO
382,mobley_5977084, Cc1cccnc1, 3-methylpyridine,-4.77,0.6,-3.22,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d280>,Cc1cccnc1
383,mobley_6006813, CCCC[N+](=O)[O-], 1-nitrobutane,-3.09,0.6,-1.45,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d2e0>,CCCC[N+](=O)[O-]
384,mobley_6055410, c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O, diflunisal,-9.4,0.2,-6.61,0.06, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d340>,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
385,mobley_6060301, CCCCCCN, hexan-1-amine,-3.95,0.6,-2.77,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d3a0>,CCCCCCN
386,mobley_6081058, CCCCCC=CC=O, oct-2-enal,-3.43,0.6,-2.71,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_6081058 from oct-2-enal to (E)-oct-2-enal (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d400>,CCCCCC=CC=O
387,mobley_6082662, c1cc(ccc1N)N(=O)=O, 4-nitroaniline,-9.82,0.1,-9.42,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d460>,Nc1ccc([N+](=O)[O-])cc1
388,mobley_6091882, C=C, ethylene,1.28,0.6,2.33,0.01, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d4c0>,C=C
389,mobley_6102880, c1ccc(cc1)Oc2ccccc2, diphenyl ether,-2.87,0.69,-2.81,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d520>,c1ccc(Oc2ccccc2)cc1
390,mobley_6115639, COP(=O)(OC)OC, trimethyl phosphate,-8.7,0.1,-10.64,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d580>,COP(=O)(OC)OC
391,mobley_6175884, Cc1ccc(cc1)C=O, 4-methylbenzaldehyde,-4.27,0.6,-5.01,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d5e0>,Cc1ccc(C=O)cc1
392,mobley_6190089, C(C(Cl)Cl)(Cl)Cl," 1,1,2,2-tetrachloroethane",-2.37,0.1,-0.53,0.03, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d640>,ClC(Cl)C(Cl)Cl
393,mobley_6195751, COc1c(c(c(c(c1Cl)C=O)Cl)OC)O," 2,6-dichlorosyringaldehyde",-8.68,0.76,-9.85,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d6a0>,COc1c(O)c(OC)c(Cl)c(C=O)c1Cl
394,mobley_6198745, CC(=O)OCC(COC(=O)C)OC(=O)C," 2,3-diacetoxypropyl acetate",-8.84,0.2,-12.33,0.06, 10.1021jm070549+, 10.1021acs.jced.7b00104," Topology and coordinate files re-generated 10913 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from glycerol triacetate to 2,3-diacetoxypropyl acetate for better handlingstandardization.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d700>,CC(=O)OCC(COC(C)=O)OC(C)=O
395,mobley_6201330, CCCOC(=O)c1ccc(cc1)O, propyl paraben,-9.37,0.22,-8.95,0.04, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d760>,CCCOC(=O)c1ccc(O)cc1
396,mobley_6232400, c1cc(cnc1)C=O, pyridine-3-carbaldehyde,-7.1,0.6,-7.42,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d7c0>,O=Cc1cccnc1
397,mobley_6235784, CC[C@H](C)Cl, 2-chlorobutane,0.0,0.6,0.93,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_6235784 from 2-chlorobutane to (2S)-2-chlorobutane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d820>,CC[C@H](C)Cl
398,mobley_6239320, c1(=O)[nH]c(=O)[nH]c(=O)[nH]1, cyanuric acid,-18.06,0.27,-21.76,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d880>,O=c1[nH]c(=O)[nH]c(=O)[nH]1
399,mobley_6248915, CCCCCCCCN, octan-1-amine,-3.65,0.6,-2.59,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d8e0>,CCCCCCCCN
400,mobley_6250025, CCCCCCI, 1-iodohexane,0.08,0.6,0.04,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d940>,CCCCCCI
401,mobley_6257907, c1cc(cc(c1)Cl)N, 3-chloroaniline,-5.82,0.6,-5.14,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d0d9a0>,Nc1cccc(Cl)c1
